ts,te,td,pr,val,fl,flP,ipkt,ipktP,ibyt,ibytP,ipps,ibps,ibpp
2018-05-18 09:38:33,2018-05-18 10:54:59,4586.737,any,192.168.0.2,40263,36.2,0,0.0,1095731,0.5,0,1911,0
1969-12-31 21:00:00,2018-05-18 10:54:59,1526651699.706,any,10.60.2.125,18462,16.6,0,0.0,2093571,1.0,0,0,0
2018-05-18 10:47:50,2018-05-18 10:54:48,417.791,any,10.60.80.1,17210,15.5,0,0.0,3443995,1.6,0,65946,0
1969-12-31 21:00:00,2018-05-18 10:54:56,1526651696.647,any,10.60.2.104,4861,4.4,0,0.0,4606969,2.2,0,0,0
1969-12-31 21:00:00,2018-05-18 10:54:35,1526651675.978,any,10.61.53.6,2423,2.2,0,0.0,92358,0.0,0,0,0
1969-12-31 21:00:00,2018-05-18 10:54:59,1526651699.866,any,216.58.202.142,1867,1.7,0,0.0,4712157,2.2,0,0,0
2018-05-18 09:38:33,2018-05-18 10:54:55,4582.648,any,200.18.10.1,1726,1.6,0,0.0,54602,0.0,0,95,0
1969-12-31 21:00:00,2018-05-18 10:54:59,1526651699.716,any,10.60.2.94,1666,1.5,0,0.0,880931,0.4,0,0,0
1969-12-31 21:00:00,2018-05-18 10:54:53,1526651693.697,any,10.61.2.135,1586,1.4,0,0.0,2077513,1.0,0,0,0
1969-12-31 21:00:00,2018-05-18 10:54:41,1526651681.407,any,10.61.53.185,1270,1.1,0,0.0,1178299,0.6,0,0,0

Summary
flows,bytes,packets,avg_bps,avg_pps,avg_bpp
111172,214001196,0,1,0,0
